識別碼,主檔ID,組別,測量項目,測量位置,最小值,最大值,測量時間
592,23,1         ,外徑        ,前段        ,33.0000,33.0500,
593,23,1         ,厚度        ,前段        ,4.4500,4.6500,
594,23,1         ,外徑        ,中段        ,33.0100,33.0300,
595,23,1         ,厚度        ,中段        ,4.4000,4.4700,
596,23,1         ,外徑        ,後段        ,32.9900,33.0700,
597,23,1         ,厚度        ,後段        ,4.3800,4.4500,
598,23,2         ,外徑        ,前段        ,33.0000,33.0100,
599,23,2         ,厚度        ,前段        ,4.3900,4.5600,
600,23,2         ,外徑        ,中段        ,33.0100,33.0400,
601,23,2         ,厚度        ,中段        ,4.4200,4.5300,
602,23,2         ,外徑        ,後段        ,33.0100,33.0300,
603,23,2         ,厚度        ,後段        ,4.4100,4.5500,
604,23,3         ,外徑        ,前段        ,33.0100,33.0300,
605,23,3         ,厚度        ,前段        ,4.3600,4.5700,
606,23,3         ,外徑        ,中段        ,33.0000,33.0300,
607,23,3         ,厚度        ,中段        ,4.5100,4.5700,
608,23,3         ,外徑        ,後段        ,33.0300,33.0700,
609,23,3         ,厚度        ,後段        ,4.3900,4.5500,
610,23,4         ,外徑        ,前段        ,32.9900,33.0100,
611,23,4         ,厚度        ,前段        ,4.3900,4.5300,
612,23,4         ,外徑        ,中段        ,33.0100,33.0400,
613,23,4         ,厚度        ,中段        ,4.4500,4.5600,
614,23,4         ,外徑        ,後段        ,33.0100,33.0400,
615,23,4         ,厚度        ,後段        ,4.3900,4.5400,
616,23,5         ,外徑        ,前段        ,32.9400,32.9900,
617,23,5         ,厚度        ,前段        ,4.3600,4.5400,
618,23,5         ,外徑        ,中段        ,33.0200,33.0300,
619,23,5         ,厚度        ,中段        ,4.4600,4.5400,
620,23,5         ,外徑        ,後段        ,33.0000,33.0300,
621,23,5         ,厚度        ,後段        ,4.3500,4.6000,
622,23,6         ,外徑        ,前段        ,33.0100,33.0300,
623,23,6         ,厚度        ,前段        ,4.4200,4.5400,
624,23,6         ,外徑        ,中段        ,33.0100,33.0700,
625,23,6         ,厚度        ,中段        ,4.4100,4.5300,
626,23,6         ,外徑        ,後段        ,33.0200,33.0400,
627,23,6         ,厚度        ,後段        ,4.3900,4.5900,
628,23,7         ,外徑        ,前段        ,33.0000,33.0100,
629,23,7         ,厚度        ,前段        ,4.4000,4.5400,
630,23,7         ,外徑        ,中段        ,33.0200,33.0700,
631,23,7         ,厚度        ,中段        ,4.4300,4.5900,
632,23,7         ,外徑        ,後段        ,33.0300,33.0600,
633,23,7         ,厚度        ,後段        ,4.3200,4.5800,
634,23,8         ,外徑        ,前段        ,33.0400,33.0600,
635,23,8         ,厚度        ,前段        ,4.4100,4.5200,
636,23,8         ,外徑        ,中段        ,33.0200,33.0300,
637,23,8         ,厚度        ,中段        ,4.4900,4.5700,
638,23,8         ,外徑        ,後段        ,33.0200,33.0500,
639,23,8         ,厚度        ,後段        ,4.4800,4.5600,
