識別碼,材質,規格,廠商ID,備註,建立日期,建立人員,更新日期,更新人員
1,6061-T6,28.7*19.6*3000,38,,2026-01-29 09:16:46,1,2026-01-29 09:27:58,
3,6061-T6,22.5*20*2500,38,,2026-01-29 12:11:07,,,
4,7050-O,,32,,2026-01-29 13:29:12,,,
5,2014-H,28.7*5.1,4,,2026-01-29 14:14:29,,,
6,2014-H,35.1*2.2*580,4,,2026-01-29 14:17:11,,,
7,6061-F,34*2.3*505,4,,2026-01-29 14:52:30,,,
8,6061-F,35*2.8,4,,2026-01-29 14:54:59,,,
9,6061-F,36*2.8*500,4,,2026-01-29 14:57:35,,,
10,6061-F,36*3.0*430,4,,2026-01-29 14:59:36,,,
11,6061-F,40*3.0*410,4,,2026-01-29 15:01:45,,,
12,6061-H,22.3*2.8*700,4,,2026-01-29 15:04:07,,,
13,6061-H,23.8*1.5*398,4,,2026-01-29 15:07:17,,,
14,6061-H,25.4*2.1,4,,2026-01-29 15:09:09,,,
15,6061-H,28.7*3.2*760,4,,2026-01-29 15:15:51,,,
16,6061-H,28.7*5.1*920,4,,2026-01-29 15:20:08,,,
17,6061-H,31.9*1.9*670,4,,2026-01-29 15:23:07,,,
18,6061-H,31.9*2.0,4,,2026-01-29 15:25:49,,,
19,6061-H,31.9*2.5,4,,2026-01-29 15:29:45,,,
20,6061-H,31.9*2.8,4,,2026-01-29 15:31:25,,,
21,6061-H,35.1*2.2*580,4,,2026-01-29 15:35:25,,,
22,6061-H,35.1*2.4*570,4,,2026-01-29 15:37:43,,,
23,6061-H,35.1*2.4*610,4,,2026-01-29 15:42:50,,,
24,6061-H,35.1*2.6*620,4,,2026-01-29 15:45:22,,,
25,6061-H,35*2.6*530,4,,2026-01-29 15:48:24,,,
26,6066-O,35*2.8,4,,2026-01-29 15:50:29,,,
27,7010-H,28.7*4.1,4,,2026-01-29 15:53:26,,,
28,7050-H,22.3*4.2*750,4,,2026-01-29 15:55:44,,,
29,7050-H,28.7*4.1,4,,2026-01-29 15:58:21,,,
30,7050-H,28.7*4.3*670,4,,2026-01-29 16:01:52,,,
31,7050-H,31.9*2.2*630,4,,2026-01-29 16:04:13,,,
32,7050-H,34*26.3,4,,2026-01-29 16:07:10,,,
33,7050-H,36*26.3,4,,2026-01-29 16:09:43,,,
34,7050-H,25.4*4.0*750,4,,2026-01-29 16:11:46,,,
35,7050-H,38*29.8,4,,2026-01-29 16:14:35,,,
36,7050-O,35*2.7,4,,2026-01-29 16:16:15,,,
37,7050-O,36*2.95*415,4,,2026-01-29 16:18:57,,,
38,7050-O,38*2.2*560,4,,2026-01-29 16:20:43,,,
39,7050-O,40.5*2.6*400,4,,2026-01-29 16:22:42,,,
40,7050-O,40*2.4,4,,2026-01-29 16:24:35,,,
41,7050-O,40*2.7,4,,2026-01-29 16:27:14,,,
42,2014-F,,1,,2026-01-29 16:32:27,,,
43,2014-O,,1,,2026-01-29 16:34:00,,,
44,2014-T6,,1,,2026-01-29 16:36:06,,,
45,6061-F,,1,,2026-01-29 16:37:47,,,
46,6061-PT,,1,,2026-01-29 16:38:59,,,
47,6061-T6,,1,,2026-01-29 16:41:05,,,
48,6061-T651,,1,,2026-01-29 16:51:07,,,
49,6066-O,,1,,2026-01-29 16:55:20,,,
50,6066-T6,,1,,2026-01-29 16:57:15,,,
51,7075-O,,1,,2026-01-29 16:59:03,,,
52,7075-T651,,1,,2026-01-29 17:01:20,,,
53,2014-T6,36.5*26.35*3000,9,,2026-01-29 17:03:55,,,
54,6061-F,23*2.4*370,8,,2026-01-30 09:42:05,,,
55,6061-F,26*1.8*390,8,,2026-01-30 09:44:48,,,
56,6061-F,28*2.0*350,8,,2026-01-30 09:47:23,,,
57,6061-F,28.2*1.9*535,8,,2026-01-30 09:50:16,,,
58,6061-F,28.6*4.0*615,8,,2026-01-30 09:54:25,,,
59,6061-F,30*1.7*445,8,,2026-01-30 09:56:18,,,
60,6061-F,31*2.0*310,8,,2026-01-30 09:59:44,,,
61,6061-F,31.8*2.8*746,8,,2026-01-30 10:02:30,,,
62,6061-F,33*1.8*370,8,,2026-01-30 10:05:35,,,
63,6061-F,34*1.8*280,8,,2026-01-30 10:13:41,,,
64,6061-F,35*2.5*290,8,,2026-01-30 11:33:04,,,
65,6061-F,35*2.5*410,8,,2026-01-30 11:35:11,,,
66,6061-F,35*2.6*395,8,,2026-01-30 11:37:54,,,
67,6061-F,38*2.0*420,8,,2026-01-30 11:42:01,,,
68,6061-F,38*2.5*380,8,,2026-01-30 11:44:13,,,
69,6061-F,39*2.5*310,8,,2026-01-30 11:47:09,,,
148,6061-F,40*2.4*300,8,,2026-01-30 15:06:10,,,
149,6061-F,40*2.6*605,8,,2026-01-30 16:03:05,,,
168,6061-F,42*2*320,8,,2026-02-04 13:54:41,1,,
169,6061-F,42*3.5*565,8,,2026-02-04 13:54:41,1,,
170,6061-F,43*2.1*300,8,,2026-02-04 13:54:41,1,,
171,6061-F,43*2.5*320,8,,2026-02-04 13:54:41,1,,
172,6061-F,44*3.6*260,8,,2026-02-04 13:54:41,1,,
173,6061-F,44*4*200,8,,2026-02-04 13:54:41,1,,
174,6061-F,44*4*295,8,,2026-02-04 13:54:41,1,,
175,6061-F,44*4*310,8,,2026-02-04 13:54:41,1,,
176,6061-F,45*2.1*550,8,,2026-02-04 13:54:41,1,,
177,6061-F,47*2.5*345,8,,2026-02-04 13:54:41,1,,
178,6061-F,48*1.8*260,8,,2026-02-04 13:54:41,1,,
179,6061-F,49*2.3*495,8,,2026-02-04 13:54:41,1,,
180,6061-F,49*2.5*450,8,,2026-02-04 13:54:41,1,,
181,6061-F,49*2.7*315,8,,2026-02-04 13:54:41,1,,
182,6061-F,51*2.5*490,8,,2026-02-04 13:54:41,1,,
183,6061-F,52*3.5*480,8,,2026-02-04 13:54:41,1,,
184,6061-F,55*2.2*355,8,,2026-02-04 13:54:41,1,,
185,6061-F,56*1.7*390,8,,2026-02-04 13:54:41,1,,
186,6061-F,58*4*470,8,,2026-02-04 13:54:41,1,,
187,6061-F,59*3*390,8,,2026-02-04 13:54:41,1,,
188,6061-F,59*3*550,8,,2026-02-04 13:54:41,1,,
189,6061-F,62*2.8*540,8,,2026-02-04 13:54:41,1,,
190,6061-F,62*3*625,8,,2026-02-04 13:54:41,1,,
191,6061-F,62*3.5*390,8,,2026-02-04 13:54:41,1,,
192,6061-F,63*2*460,8,,2026-02-04 13:54:41,1,,
193,6061-F,63*2.1*490,8,,2026-02-04 13:54:41,1,,
194,6061-F,63*2.2*470,8,,2026-02-04 13:54:41,1,,
195,6061-F,64*4*480,8,,2026-02-04 13:54:41,1,,
196,6061-F,64.5*2*540,8,,2026-02-04 13:54:41,1,,
197,6061-F,64.5*2*600,8,,2026-02-04 13:54:41,1,,
198,6061-F,64.5*2.3*380,8,,2026-02-04 13:54:41,1,,
199,6061-F,65*2.5*375,8,,2026-02-04 13:54:41,1,,
200,6061-F,67*2.2*590,8,,2026-02-04 13:54:41,1,,
201,6061-F,67*4.5*440,8,,2026-02-04 13:54:41,1,,
202,6061-F,68*2.2*395,8,,2026-02-04 13:54:41,1,,
203,6061-F,68*2.5*700,8,,2026-02-04 13:54:41,1,,
204,6061-F,68*2.5*720,8,,2026-02-04 13:54:41,1,,
205,6061-F,68*2.7*390,8,,2026-02-04 13:54:41,1,,
206,6061-F,68*2.7*595,8,,2026-02-04 13:54:41,1,,
207,6061-F,71*3*450,8,,2026-02-04 13:54:41,1,,
208,6061-F,73*6*680,8,,2026-02-04 13:54:41,1,,
209,6061-F,74*2.5*440,8,,2026-02-04 13:54:41,1,,
210,6061-F,75*2*585,8,,2026-02-04 13:54:41,1,,
211,6061-F,75*4*315,8,,2026-02-04 13:54:41,1,,
212,6061-F,90*3.5*500,8,,2026-02-04 13:54:41,1,,
213,6061-F,98*4*680,8,,2026-02-04 13:54:41,1,,
214,6061-F,98*4.2*535,8,,2026-02-04 13:54:41,1,,
215,6061-F,115*4*360,8,,2026-02-04 13:54:41,1,,
216,6061-F,115*4*540,8,,2026-02-04 13:54:41,1,,
217,6066-F,29*2*485,8,,2026-02-04 13:54:41,1,,
218,6066-F,29*2.5*460,8,,2026-02-04 13:54:41,1,,
219,6066-F,31*2.7*310,8,,2026-02-04 13:54:41,1,,
220,6066-F,31.5*2.3*360,8,,2026-02-04 13:54:41,1,,
221,6066-F,31.5*2.3*380,8,,2026-02-04 13:54:41,1,,
222,6066-F,32*2.5*315,8,,2026-02-04 13:54:41,1,,
223,6066-F,35*2.5*325,8,,2026-02-04 13:54:41,1,,
224,6066-F,39*2.1*500,8,,2026-02-04 13:54:41,1,,
225,6066-F,43*3*330,8,,2026-02-04 13:54:41,1,,
226,6066-F,48*2*520,8,,2026-02-04 13:54:41,1,,
227,6066-F,49*2.3*510,8,,2026-02-04 13:54:41,1,,
228,6066-F,52*2.3*520,8,,2026-02-04 13:54:41,1,,
229,6066-F,59*3*520,8,,2026-02-04 13:54:41,1,,
230,6066-F,61*3*530,8,,2026-02-04 13:54:41,1,,
231,6066-F,63*2.5*700,8,,2026-02-04 13:54:41,1,,
232,6066-F,64.5*2.3*340,8,,2026-02-04 13:54:41,1,,
