識別碼,主檔ID,測量項目,測量位置,尺寸下限,尺寸上限,公差下限,公差上限,標準值,單位,備註
4,1,外徑,,,,-0.0500,0.0500,28.7000,mm,
5,1,內徑,,,,-0.3000,0.1000,19.6000,mm,
6,1,抗拉強度,,38.0000,,,,,ksi,
7,1,降伏強度,,35.0000,,,,,ksi,
8,1,硬度,,56.2000,,,,,HRB,
9,1,伸長率,,8.0000,,,,,%,
16,3,外徑,,,,-0.0500,0.0500,22.5000,mm,
17,3,內徑,,,,-0.0300,0.0300,20.0000,mm,
18,3,抗拉強度,,38.0000,,,,,ksi,
19,3,降伏強度,,35.0000,,,,,ksi,
20,3,硬度,,56.2000,,,,,HRB,
21,3,伸長率,,8.0000,,,,,%,
45,6,外徑,,,,-0.1500,0.1500,35.1000,mm,
46,6,厚度,,,,-0.1500,0.1500,2.2000,mm,
47,6,硬度,,12.0000,14.0000,,,,HW,
51,5,外徑,,,,0.0000,0.1500,28.7000,mm,
52,5,厚度,,,,-0.1000,0.1000,5.1000,mm,
53,5,硬度,,12.0000,14.0000,,,,HW,
54,7,外徑,,,,-0.1500,0.1500,34.0000,mm,
55,7,厚度,,,,-0.1500,0.1500,2.3000,mm,
56,7,硬度,,7.0000,9.0000,,,,HW,
57,8,外徑,,,,-0.1500,0.1500,35.0000,mm,
58,8,厚度,,,,-0.1500,0.1500,2.8000,mm,
59,8,硬度,,7.0000,9.0000,,,,HW,
60,9,外徑,,,,-0.1500,0.1500,36.0000,mm,
61,9,厚度,,,,-0.1500,0.1500,2.8000,mm,
62,9,厚度,,7.0000,9.0000,,,,mm,
63,10,外徑,,,,-0.1500,0.1500,36.0000,mm,
64,10,厚度,,,,-0.1500,0.1500,3.0000,mm,
65,10,硬度,,7.0000,9.0000,,,,HW,
66,11,外徑,,,,-0.1500,0.1500,40.0000,mm,
67,11,厚度,,,,-0.1500,0.1500,3.0000,mm,
68,11,硬度,,7.0000,9.0000,,,,mm,
72,12,外徑,,,,-0.0500,0.0500,22.3000,mm,
73,12,厚度,,,,-0.1500,0.1500,2.8000,mm,
74,12,硬度,,10.0000,12.0000,,,,HW,
84,14,外徑,,,,,0.1500,25.4000,mm,
85,14,厚度,,,,-0.1500,0.1500,2.1000,mm,
86,14,硬度,,10.0000,12.0000,,,,HW,
87,13,外徑,,,,-0.1500,0.1500,23.8000,mm,
88,13,厚度,,,,-0.1500,0.1500,1.5000,mm,
89,13,硬度,,10.0000,12.0000,,,,HW,
96,17,外徑,,,,0.0000,0.1500,31.9000,mm,
97,17,厚度,,,,-0.1500,0.1500,1.9000,mm,
98,17,硬度,,10.0000,12.0000,,,,HW,
99,16,外徑,,,,,0.1500,28.7000,mm,
100,16,厚度,,,,-0.1000,0.1000,5.1000,mm,
101,16,硬度,,10.0000,12.0000,,,,HW,
102,15,外徑,,,,-0.1500,0.1500,28.7000,mm,
103,15,厚度,,,,-0.1500,0.1500,3.2000,mm,
104,15,硬度,,10.0000,12.0000,,,,HW,
105,18,外徑,,,,0.0000,0.1500,31.9000,mm,
106,18,厚度,,,,-0.1500,0.1500,2.0000,mm,
107,18,硬度,,10.0000,12.0000,,,,HW,
114,21,外徑,,,,0.0000,0.1500,35.1000,mm,
115,21,厚度,,,,-0.1500,0.1500,2.2000,mm,
116,21,硬度,,10.0000,12.0000,,,,HW,
117,22,外徑,,,,0.0000,0.1500,35.1000,mm,
118,22,厚度,,,,-0.1500,0.1500,2.4000,mm,
119,22,硬度,,10.0000,12.0000,,,,HW,
123,24,外徑,,,,0.0000,0.1500,35.1000,mm,
124,24,厚度,,,,-0.1500,0.1500,2.6000,mm,
125,24,硬度,,10.0000,12.0000,,,,HW,
129,26,外徑,,,,-0.1500,0.1500,35.0000,mm,
130,26,厚度,,,,-0.1500,0.1500,2.8000,mm,
131,26,硬度,,5.0000,7.0000,,,,HW,
132,25,外徑,,,,-0.1500,0.1500,35.0000,mm,
133,25,厚度,,,,-0.1500,0.1500,2.6000,mm,
134,25,硬度,,10.0000,12.0000,,,,HW,
135,23,外徑,,,,-0.1500,0.1500,35.1000,mm,
136,23,厚度,,,,-0.1500,0.1500,2.4000,mm,
137,23,硬度,,10.0000,12.0000,,,,HW,
138,20,外徑,,,,,0.1500,31.9000,mm,
139,20,厚度,,,,-0.1500,0.1500,2.8000,mm,
140,20,硬度,,10.0000,12.0000,,,,HW,
144,27,外徑,,,,0.0000,0.1500,28.7000,mm,
145,27,厚度,,,,-0.1000,0.1000,4.1000,mm,
146,27,硬度,,8.0000,12.0000,,,,HW,
147,28,外徑,,,,-0.0500,0.0500,22.3000,mm,
148,28,厚度,,,,-0.1000,0.1000,4.2000,mm,
149,28,硬度,,8.0000,12.0000,,,,HW,
150,29,外徑,,,,0.0000,0.1500,28.7000,mm,
151,29,厚度,,,,-0.1000,0.1000,4.1000,mm,
152,29,硬度,,8.0000,12.0000,,,,HW,
153,30,外徑,,,,0.0000,0.1500,28.7000,mm,
154,30,厚度,,,,-0.1000,0.1000,4.3000,mm,
155,30,硬度,,8.0000,12.0000,,,,HW,
156,31,外徑,,,,0.0000,0.1500,31.9000,mm,
157,31,厚度,,,,-0.1500,0.1500,2.2000,mm,
158,31,硬度,,8.0000,12.0000,,,,HW,
159,32,外徑,,,,-0.1000,0.1000,34.0000,mm,
160,32,內徑,,,,-0.0500,0.0500,26.3000,mm,
161,32,厚度,,,,-0.1500,0.1500,3.8500,mm,
162,32,硬度,,8.0000,12.0000,,,,HW,
163,33,外徑,,,,-0.1000,0.1000,36.0000,mm,
164,33,內徑,,,,-0.0500,0.0500,26.3000,mm,
165,33,厚度,,,,-0.1500,0.1500,4.8500,mm,
166,33,硬度,,8.0000,12.0000,,,,HW,
167,34,外徑,,,,0.0000,0.1000,25.4000,mm,
168,34,厚度,,,,-0.1000,0.1000,4.0000,mm,
169,34,硬度,,8.0000,12.0000,,,,HW,
170,35,外徑,,,,-0.1000,0.1000,38.0000,mm,
171,35,內徑,,,,-0.0500,0.0500,29.8000,mm,
172,35,厚度,,,,-0.1500,0.1500,4.1000,mm,
173,35,硬度,,8.0000,12.0000,,,,HW,
174,35,真直度,,,0.1000,,,,mm,
175,36,外徑,,,,-0.1500,0.1500,35.0000,mm,
176,36,厚度,,,,-0.1500,0.1500,2.7000,mm,
177,36,硬度,,8.0000,10.0000,,,,HW,
178,37,外徑,,,,-0.1500,0.1500,36.0000,mm,
179,37,厚度,,,,-0.1500,0.1500,2.9500,mm,
180,37,硬度,,8.0000,10.0000,,,,HW,
181,38,外徑,,,,-0.1500,0.1500,38.0000,mm,
182,38,厚度,,,,-0.1500,0.1500,2.2000,mm,
183,38,硬度,,8.0000,10.0000,,,,HW,
184,39,外徑,,,,-0.1500,0.1500,40.5000,mm,
185,39,厚度,,,,-0.1500,0.1500,2.6000,mm,
186,39,硬度,,8.0000,10.0000,,,,HW,
187,40,外徑,,,,-0.1500,0.1500,40.0000,mm,
188,40,厚度,,,,-0.1500,0.1500,2.4000,mm,
189,40,硬度,,8.0000,10.0000,,,,HW,
190,41,外徑,,,,-0.1500,0.1500,40.0000,mm,
191,41,厚度,,,,-0.1500,0.1500,2.7000,mm,
192,41,硬度,,8.0000,10.0000,,,,HW,
193,42,外徑,,,,-0.1000,0.1000,,mm,
194,42,厚度,,,,-0.1000,0.1000,,mm,
195,42,長度,,,,0.0000,1.0000,,mm,
196,42,硬度,,10.0000,13.0000,,,,HW,
197,43,外徑,,,,0.0000,0.1000,,mm,
198,43,厚度,,,,0.0000,0.1000,,mm,
199,43,長度,,,,0.0000,1.0000,,mm,
200,43,硬度,,7.0000,9.0000,,,,HW,
201,44,外徑,,,,-0.0300,0.0300,,mm,
202,44,厚度,,,,-0.0500,0.0500,,mm,
203,44,長度,,,,0.0000,2.0000,,mm,
204,44,硬度,,75.0000,83.0000,,,,HRB,
205,45,外徑,,,,0.0000,0.1000,,mm,
206,45,厚度,,,,0.0000,0.1000,,mm,
207,45,長度,,,,0.0000,1.0000,,mm,
