
使用中連線

  協定   本機位址               外部位址               狀態            PID
  TCP    0.0.0.0:21             0.0.0.0:0              LISTENING       15076
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       13288
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1424
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5001           0.0.0.0:0              LISTENING       21632
  TCP    0.0.0.0:5001           0.0.0.0:0              LISTENING       7872
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       4556
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       8716
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       14020
  TCP    0.0.0.0:8080           0.0.0.0:0              LISTENING       2752
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1112
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1020
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       1012
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       2772
  TCP    0.0.0.0:49688          0.0.0.0:0              LISTENING       6452
  TCP    0.0.0.0:49703          0.0.0.0:0              LISTENING       924
  TCP    0.0.0.0:55168          0.0.0.0:0              LISTENING       9628
  TCP    0.0.0.0:59869          0.0.0.0:0              LISTENING       16232
  TCP    127.0.0.1:5001         127.0.0.1:51429        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:51443        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:52560        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:53247        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:53501        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:53732        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:56007        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:56152        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:56532        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:60694        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:61969        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:62312        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:62313        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:62540        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:63016        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:63024        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:63025        TIME_WAIT       0
  TCP    127.0.0.1:5001         127.0.0.1:65402        TIME_WAIT       0
  TCP    127.0.0.1:23580        0.0.0.0:0              LISTENING       7008
  TCP    127.0.0.1:24830        0.0.0.0:0              LISTENING       6848
  TCP    127.0.0.1:49689        0.0.0.0:0              LISTENING       6332
  TCP    127.0.0.1:49701        127.0.0.1:49702        ESTABLISHED     1296
  TCP    127.0.0.1:49702        127.0.0.1:49701        ESTABLISHED     1296
  TCP    127.0.0.1:49706        127.0.0.1:49707        ESTABLISHED     1568
  TCP    127.0.0.1:49707        127.0.0.1:49706        ESTABLISHED     1568
  TCP    127.0.0.1:50715        127.0.0.1:59413        TIME_WAIT       0
